Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/26/2025,08/28/2025,UTD HALALSHACK CAFE,Food & Drink,Sale,-14.60,
08/26/2025,08/28/2025,SWA*EXCS_BAG5264288763428,Travel,Sale,-35.00,
08/27/2025,08/28/2025,CENTRAL MARKET #546,Groceries,Sale,-44.75,
08/27/2025,08/28/2025,UTD TEA CO,Food & Drink,Sale,-6.48,
08/25/2025,08/27/2025,TST*MODERN MARKET C CONC,Food & Drink,Sale,-14.79,
08/26/2025,08/27/2025,SPO*SKYROCKETBURGER,Food & Drink,Sale,-35.21,
08/26/2025,08/27/2025,TARGET        00017756,Groceries,Sale,-99.41,
08/25/2025,08/26/2025,COD AVIATION PK GAR,Travel,Sale,-84.00,
08/25/2025,08/26/2025,SQ *MUD HUT LYONS LLC,Food & Drink,Sale,-12.01,
08/25/2025,08/26/2025,SQ *MOXIE MERCANTILE,Food & Drink,Sale,-43.13,
08/25/2025,08/26/2025,TST* HANGAR 101,Food & Drink,Sale,-573.76,
08/24/2025,08/25/2025,Payment Thank You-Mobile,,Payment,4837.36,
08/25/2025,08/25/2025,CO SECRETARY STATE FEE,Bills & Utilities,Sale,-25.00,
08/23/2025,08/25/2025,TARGET        00015008,Groceries,Sale,-51.25,
08/24/2025,08/25/2025,HP *HP.COM STORE,Shopping,Sale,-286.92,
08/23/2025,08/25/2025,ROCKY MTN SNACK BAR,Food & Drink,Sale,-29.50,
08/23/2025,08/25/2025,ROCKY MTN SNACK BAR,Food & Drink,Sale,-12.50,
08/23/2025,08/25/2025,RMNP ALPINE VISITOR CENTE,Shopping,Sale,-8.00,
08/23/2025,08/24/2025,SQ *COFFEE ON THE ROCKS,Food & Drink,Sale,-33.76,
08/22/2025,08/24/2025,SWA*EXCS_BAG5264288296095,Travel,Sale,-70.00,
08/22/2025,08/24/2025,RAISING CANES 0043,Food & Drink,Sale,-21.20,
08/24/2025,08/24/2025,your-saving.com,Professional Services,Sale,-165.00,
08/22/2025,08/24/2025,TST* SPITZ - PLANO,Food & Drink,Sale,-40.60,
08/22/2025,08/24/2025,STARBUCKS EAST DAL,Food & Drink,Sale,-6.98,
08/21/2025,08/22/2025,CENTRAL MARKET #546,Groceries,Sale,-9.74,
08/20/2025,08/22/2025,COLLIN CO TX  MV PLANO CN,Bills & Utilities,Sale,-205.48,
08/21/2025,08/22/2025,CENTRAL MARKET #546,Groceries,Sale,-10.25,
08/21/2025,08/22/2025,CENTRAL MARKET #546,Groceries,Sale,-7.58,
08/20/2025,08/21/2025,WAL-MART #3482,Groceries,Sale,-41.05,
08/19/2025,08/21/2025,ROSAS CAFE &amp; TORTILLA FTY,Food & Drink,Sale,-17.40,
08/20/2025,08/21/2025,FIV*CREAMSTONE CORP,Food & Drink,Sale,-11.34,
08/19/2025,08/20/2025,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.25,
08/18/2025,08/20/2025,MORIYA SHOKUDO,Food & Drink,Sale,-43.76,
08/19/2025,08/20/2025,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.25,
08/19/2025,08/20/2025,AMAZON MKTPL*VF5649L23,Shopping,Sale,-26.92,
08/17/2025,08/19/2025,ANGEL CHICKEN KITCHEN,Food & Drink,Sale,-30.28,
08/18/2025,08/19/2025,Etsy.com*Multiple Shop,Shopping,Sale,-101.35,
08/18/2025,08/19/2025,XPRESS STATE INSPECTION,Automotive,Sale,-18.50,
08/18/2025,08/19/2025,WAL-MART #3482,Groceries,Sale,-144.36,
08/17/2025,08/19/2025,STAPLES       00112516,Shopping,Sale,-12.36,
08/18/2025,08/19/2025,WAL-MART #3482,Groceries,Sale,-54.87,
08/17/2025,08/18/2025,BISECTHOST* BISECTHOST,Shopping,Sale,-16.15,
08/17/2025,08/18/2025,your-saving.com,Professional Services,Sale,-102.00,
08/17/2025,08/18/2025,104 BRAUMS STORE,Food & Drink,Sale,-4.74,
08/17/2025,08/18/2025,your-saving.com,Professional Services,Sale,-150.00,
08/17/2025,08/17/2025,your-saving.com,Professional Services,Sale,-343.00,
08/16/2025,08/17/2025,CENTRAL MARKET #546,Groceries,Sale,-7.58,
08/14/2025,08/17/2025,JIMMY JOHNS - 2430 - ECOM,Food & Drink,Sale,-84.53,
08/16/2025,08/17/2025,CENTRAL MARKET #546,Groceries,Sale,-39.67,
08/13/2025,08/15/2025,PMUSA 953080 DALLAS,Travel,Sale,-0.60,
08/13/2025,08/15/2025,UTD T2 FLEX PARKING,Education,Sale,-348.00,
08/13/2025,08/14/2025,CENTRAL MARKET #546,Groceries,Sale,-9.47,
08/12/2025,08/14/2025,U-HAUL MOVING &amp; STORAGE O,Home,Sale,-107.17,
08/12/2025,08/14/2025,STARBUCKS STORE 82533,Food & Drink,Sale,-13.47,
08/12/2025,08/13/2025,LOVE'S #0247 INSIDE,Gas,Sale,-4.50,
08/10/2025,08/12/2025,RED ROBIN NO 490,Food & Drink,Sale,-105.89,
08/11/2025,08/12/2025,LOAF N JUG 0014,Gas,Sale,-4.39,
08/11/2025,08/12/2025,CERTIFIED TATTOO,Personal,Return,452.21,
08/10/2025,08/11/2025,TARGET        00020214,Groceries,Sale,-42.04,
08/10/2025,08/11/2025,SQ *CORVUS COFFEE ROASTER,Food & Drink,Sale,-26.02,
08/08/2025,08/10/2025,your-saving.com,Professional Services,Sale,-50.00,
08/08/2025,08/10/2025,your-saving.com,Professional Services,Sale,-10.00,
08/08/2025,08/10/2025,COLORADO MILLS 16 IMAX,Entertainment,Sale,-8.70,
08/09/2025,08/10/2025,CHEESECAKE 231 ONEDINE,Food & Drink,Sale,-16.65,
08/07/2025,08/10/2025,U-HAUL CENTER OF ENGLEWOO,Home,Sale,-1363.90,
08/09/2025,08/10/2025,VOODOO HAIR LOUNGE,Personal,Sale,-31.18,
08/08/2025,08/10/2025,REGAL CINEMAS INC,Entertainment,Sale,-2.54,
08/07/2025,08/10/2025,INTERMOUNTAIN MYCHART,Health & Wellness,Sale,-20.38,
08/08/2025,08/08/2025,XFINITY MOBILE,Bills & Utilities,Sale,-37.68,
08/06/2025,08/08/2025,CHICK-FIL-A #02636,Food & Drink,Sale,-11.32,
08/07/2025,08/08/2025,TARGET        00015008,Groceries,Sale,-61.00,
08/06/2025,08/07/2025,SALON HETHERS,Personal,Sale,-71.09,
08/05/2025,08/07/2025,CAFE RIO 0060 DENVER WES,Food & Drink,Sale,-42.59,
08/07/2025,08/07/2025,TXU*BILL PAYMENT,Bills & Utilities,Sale,-390.00,
08/05/2025,08/06/2025,LS GOLDEN GOODS,Shopping,Sale,-3.21,
08/04/2025,08/06/2025,THE HOME DEPOT #1502,Home,Sale,-7.68,
08/05/2025,08/06/2025,PUBLIC WORKS-PRKG METR,Travel,Sale,-3.50,
08/05/2025,08/06/2025,COBBLESTONE WASH 105,Automotive,Sale,-15.00,
08/05/2025,08/06/2025,EXXON LAKEWOOD MARKET,Gas,Sale,-37.78,
08/04/2025,08/05/2025,TST*TAMMENS FISH MARKET,Food & Drink,Sale,-7.56,
08/04/2025,08/05/2025,TST* GYU-KAKU - DENVER,Food & Drink,Sale,-194.06,
08/02/2025,08/04/2025,SHELL OIL 57443809405,Gas,Sale,-3.12,
08/02/2025,08/04/2025,McDonalds 5560,Food & Drink,Sale,-60.79,
08/02/2025,08/04/2025,CERTIFIED TATTOO,Personal,Sale,-452.21,
07/31/2025,08/03/2025,THE HOME DEPOT #1502,Home,Sale,-4.08,
08/02/2025,08/03/2025,KING SOOPERS #0020,Groceries,Sale,-36.00,
07/31/2025,08/03/2025,CHICK-FIL-A #02636,Food & Drink,Sale,-9.49,
08/01/2025,08/03/2025,UEP*TEAGEE,Food & Drink,Sale,-7.06,
08/01/2025,08/01/2025,BIBLE-PROJ* MONTHLY,Gifts & Donations,Sale,-100.00,
